SEASON,Zip,Frequency in Thousands
FALL,11226,46.34
FALL,10467,39.152
FALL,10458,38.536
FALL,10453,35.226
FALL,10468,33.949
FALL,10452,31.808
FALL,10457,31.189
FALL,10456,29.945
FALL,10031,28.035
FALL,11225,27.735
FALL,11213,26.623
FALL,10032,26.391
FALL,11207,24.976
FALL,11233,23.594
FALL,11221,23.499
FALL,11212,23.448
FALL,10040,21.268
FALL,11216,20.624
FALL,10472,20.394
FALL,10460,19.903
FALL,11208,19.629
FALL,11203,19.572
FALL,10033,19.07
FALL,10462,18.738
FALL,10463,17.375
FALL,10034,17.068
FALL,10459,16.068
FALL,10466,14.825
FALL,11230,14.639
FALL,10027,14.142
SPRING,11226,37.023
SPRING,10458,28.645
SPRING,10467,28.526
SPRING,10453,27.192
SPRING,10452,26.068
SPRING,10468,23.607
SPRING,10457,23.521
SPRING,10031,21.3
SPRING,10456,20.884
SPRING,11225,20.365
SPRING,11213,19.881
SPRING,11233,19.312
SPRING,11207,19.272
SPRING,11221,18.205
SPRING,10032,18.016
SPRING,11212,17.556
SPRING,10472,16.777
SPRING,10460,16.358
SPRING,10040,15.773
SPRING,11216,15.362
SPRING,11208,15.271
SPRING,11203,14.479
SPRING,10033,13.209
SPRING,10463,12.126
SPRING,10462,12.02
SPRING,10034,11.927
SPRING,11230,11.436
SPRING,11237,11.268
SPRING,10459,11.265
SPRING,10466,10.97
SUMMER,11226,32.712
SUMMER,10467,24.468
SUMMER,10453,22.317
SUMMER,10458,22.268
SUMMER,10457,21.765
SUMMER,10452,21.49
SUMMER,10468,19.875
SUMMER,10456,19.738
SUMMER,11207,18.853
SUMMER,11233,17.96
SUMMER,11213,17.787
SUMMER,11221,17.484
SUMMER,10031,17.385
SUMMER,10032,17.267
SUMMER,11225,17.244
SUMMER,11212,15.33
SUMMER,11208,14.494
SUMMER,10460,14.107
SUMMER,11216,13.807
SUMMER,11203,13.374
SUMMER,10472,13.256
SUMMER,10033,11.152
SUMMER,11237,10.88
SUMMER,10459,10.853
SUMMER,10034,10.614
SUMMER,10040,10.377
SUMMER,10466,10.167
SUMMER,10463,9.774
SUMMER,10462,9.405
SUMMER,11230,9.335
WINTER,11226,56.857
WINTER,10458,48.65
WINTER,10467,47.137
WINTER,10453,46.543
WINTER,10468,42.299
WINTER,10457,38.621
WINTER,10452,38.039
WINTER,10456,35.009
WINTER,10031,32.979
WINTER,11225,32.793
WINTER,11213,32.38
WINTER,10032,29.749
WINTER,11212,29.415
WINTER,10040,29.065
WINTER,11207,26.871
WINTER,11233,26.869
WINTER,10472,26.611
WINTER,11221,26.562
WINTER,10460,26.201
WINTER,10463,25.675
WINTER,11216,24.165
WINTER,11203,23.318
WINTER,10462,22.838
WINTER,10033,22.74
WINTER,11208,21.074
WINTER,10034,19.226
WINTER,10459,19.03
WINTER,10466,18.148
WINTER,11230,17.758
WINTER,10027,16.822
